tid,ttid,did,name,task_type,status,estimation_procedure,evaluation_measures,source_data,target_feature,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures,number_samples,cost_matrix,source_data_labeled,target_feature_event,target_feature_left,target_feature_right,quality_measure,target_value
2073,TaskType.SUPERVISED_CLASSIFICATION,181,yeast,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,181,class_protein_localization,463.0,10.0,5.0,10.0,9.0,1484.0,0.0,0.0,8.0,1.0,,,,,,,,
3945,TaskType.SUPERVISED_CLASSIFICATION,1111,KDDCup09_appetency,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,1111,APPETENCY,49110.0,15415.0,890.0,2.0,231.0,50000.0,50000.0,8024152.0,192.0,39.0,,,,,,,,
7593,TaskType.SUPERVISED_CLASSIFICATION,1596,covertype,Supervised Classification,active,10-fold Crossvalidation,,1596,class,283301.0,7.0,2747.0,7.0,55.0,581012.0,0.0,0.0,10.0,45.0,,,,,,,,
10090,TaskType.SUPERVISED_CLASSIFICATION,1457,amazon-commerce-reviews,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,1457,Class,30.0,50.0,30.0,50.0,10001.0,1500.0,0.0,0.0,10000.0,1.0,,,,,,,,
146818,TaskType.SUPERVISED_CLASSIFICATION,40981,Australian,Supervised Classification,active,10-fold Crossvalidation,,40981,A15,383.0,14.0,307.0,2.0,15.0,690.0,0.0,0.0,6.0,9.0,,,,,,,,
146820,TaskType.SUPERVISED_CLASSIFICATION,40983,wilt,Supervised Classification,active,10-fold Crossvalidation,,40983,class,4578.0,2.0,261.0,2.0,6.0,4839.0,0.0,0.0,5.0,1.0,,,,,,,,
167120,TaskType.SUPERVISED_CLASSIFICATION,23517,numerai28.6,Supervised Classification,active,10-fold Crossvalidation,,23517,attribute_21,48658.0,2.0,47662.0,2.0,22.0,96320.0,0.0,0.0,21.0,1.0,,,,,,,,
168350,TaskType.SUPERVISED_CLASSIFICATION,1489,phoneme,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,1489,Class,3818.0,2.0,1586.0,2.0,6.0,5404.0,0.0,0.0,5.0,1.0,,,,,,,,
168757,TaskType.SUPERVISED_CLASSIFICATION,31,credit-g,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,31,class,700.0,10.0,300.0,2.0,21.0,1000.0,0.0,0.0,7.0,14.0,,,,,,,,
168784,TaskType.SUPERVISED_CLASSIFICATION,40982,steel-plates-fault,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,40982,target,673.0,7.0,55.0,7.0,28.0,1941.0,0.0,0.0,27.0,1.0,,,,,,,,
168868,TaskType.SUPERVISED_CLASSIFICATION,41138,APSFailure,Supervised Classification,active,10-fold Crossvalidation,,41138,class,74625.0,2.0,1375.0,2.0,171.0,76000.0,75244.0,1078695.0,170.0,1.0,,,,,,,,
168909,TaskType.SUPERVISED_CLASSIFICATION,41163,dilbert,Supervised Classification,active,10-fold Crossvalidation,,41163,class,2049.0,5.0,1913.0,5.0,2001.0,10000.0,0.0,0.0,2000.0,1.0,,,,,,,,
168910,TaskType.SUPERVISED_CLASSIFICATION,41164,fabert,Supervised Classification,active,10-fold Crossvalidation,,41164,class,1927.0,7.0,502.0,7.0,801.0,8237.0,0.0,0.0,800.0,1.0,,,,,,,,
168911,TaskType.SUPERVISED_CLASSIFICATION,41143,jasmine,Supervised Classification,active,10-fold Crossvalidation,,41143,class,1492.0,2.0,1492.0,2.0,145.0,2984.0,0.0,0.0,8.0,137.0,,,,,,,,
189354,TaskType.SUPERVISED_CLASSIFICATION,1169,airlines,Supervised Classification,active,10-fold Crossvalidation,,1169,Delay,299119.0,293.0,240264.0,2.0,8.0,539383.0,0.0,0.0,3.0,5.0,,,,,,,,
189355,TaskType.SUPERVISED_CLASSIFICATION,41167,dionis,Supervised Classification,active,10-fold Crossvalidation,,41167,class,2469.0,355.0,878.0,355.0,61.0,416188.0,0.0,0.0,60.0,1.0,,,,,,,,
189356,TaskType.SUPERVISED_CLASSIFICATION,41147,albert,Supervised Classification,active,10-fold Crossvalidation,,41147,class,212620.0,,212620.0,2.0,79.0,425240.0,425159.0,2734000.0,26.0,53.0,,,,,,,,
189922,TaskType.SUPERVISED_CLASSIFICATION,41158,gina,Supervised Classification,active,10-fold Crossvalidation,,41158,class,1603.0,2.0,1550.0,2.0,971.0,3153.0,0.0,0.0,970.0,1.0,,,,,,,,
190137,TaskType.SUPERVISED_CLASSIFICATION,1487,ozone-level-8hr,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,1487,Class,2374.0,2.0,160.0,2.0,73.0,2534.0,0.0,0.0,72.0,1.0,,,,,,,,
190146,TaskType.SUPERVISED_CLASSIFICATION,54,vehicle,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,54,Class,218.0,4.0,199.0,4.0,19.0,846.0,0.0,0.0,18.0,1.0,,,,,,,,
190392,TaskType.SUPERVISED_CLASSIFICATION,41144,madeline,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,41144,class,1579.0,2.0,1561.0,2.0,260.0,3140.0,0.0,0.0,259.0,1.0,,,,,,,,
190410,TaskType.SUPERVISED_CLASSIFICATION,41145,philippine,Supervised Classification,active,10-fold Crossvalidation,,41145,class,2916.0,2.0,2916.0,2.0,309.0,5832.0,0.0,0.0,308.0,1.0,,,,,,,,
190411,TaskType.SUPERVISED_CLASSIFICATION,41156,ada,Supervised Classification,active,10-fold Crossvalidation,,41156,class,3118.0,2.0,1029.0,2.0,49.0,4147.0,0.0,0.0,48.0,1.0,,,,,,,,
190412,TaskType.SUPERVISED_CLASSIFICATION,41157,arcene,Supervised Classification,active,10-fold Crossvalidation,,41157,class,56.0,2.0,44.0,2.0,10001.0,100.0,0.0,0.0,10000.0,1.0,,,,,,,,
211979,TaskType.SUPERVISED_CLASSIFICATION,41168,jannis,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,41168,class,38522.0,4.0,1687.0,4.0,55.0,83733.0,0.0,0.0,54.0,1.0,,,,,,,,
211986,TaskType.SUPERVISED_CLASSIFICATION,4541,Diabetes130US,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,4541,readmitted,54864.0,790.0,11357.0,3.0,50.0,101766.0,0.0,0.0,13.0,37.0,,,,,,,,
359953,TaskType.SUPERVISED_CLASSIFICATION,1515,micro-mass,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,1515,Class,60.0,20.0,11.0,20.0,1301.0,571.0,0.0,0.0,1300.0,1.0,,,,,,,,
359954,TaskType.SUPERVISED_CLASSIFICATION,188,eucalyptus,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,188,Utility,214.0,27.0,105.0,5.0,20.0,736.0,95.0,448.0,14.0,6.0,,,,,,,,
359955,TaskType.SUPERVISED_CLASSIFICATION,1464,blood-transfusion-service-center,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,1464,Class,570.0,2.0,178.0,2.0,5.0,748.0,0.0,0.0,4.0,1.0,,,,,,,,
359956,TaskType.SUPERVISED_CLASSIFICATION,1494,qsar-biodeg,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,1494,Class,699.0,2.0,356.0,2.0,42.0,1055.0,0.0,0.0,41.0,1.0,,,,,,,,
359957,TaskType.SUPERVISED_CLASSIFICATION,1468,cnae-9,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,1468,Class,120.0,9.0,120.0,9.0,857.0,1080.0,0.0,0.0,856.0,1.0,,,,,,,,
359958,TaskType.SUPERVISED_CLASSIFICATION,1049,pc4,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,1049,c,1280.0,2.0,178.0,2.0,38.0,1458.0,0.0,0.0,37.0,1.0,,,,,,,,
359959,TaskType.SUPERVISED_CLASSIFICATION,23,cmc,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,23,Contraceptive_method_used,629.0,4.0,333.0,3.0,10.0,1473.0,0.0,0.0,2.0,8.0,,,,,,,,
359960,TaskType.SUPERVISED_CLASSIFICATION,40975,car,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,40975,class,1210.0,4.0,65.0,4.0,7.0,1728.0,0.0,0.0,0.0,7.0,,,,,,,,
359961,TaskType.SUPERVISED_CLASSIFICATION,12,mfeat-factors,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,12,class,200.0,10.0,200.0,10.0,217.0,2000.0,0.0,0.0,216.0,1.0,,,,,,,,
359962,TaskType.SUPERVISED_CLASSIFICATION,1067,kc1,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,1067,defects,1783.0,2.0,326.0,2.0,22.0,2109.0,0.0,0.0,21.0,1.0,,,,,,,,
359963,TaskType.SUPERVISED_CLASSIFICATION,40984,segment,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,40984,class,330.0,7.0,330.0,7.0,20.0,2310.0,0.0,0.0,19.0,1.0,,,,,,,,
359964,TaskType.SUPERVISED_CLASSIFICATION,40670,dna,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,40670,class,1654.0,3.0,765.0,3.0,181.0,3186.0,0.0,0.0,0.0,181.0,,,,,,,,
359965,TaskType.SUPERVISED_CLASSIFICATION,3,kr-vs-kp,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,3,class,1669.0,3.0,1527.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,,,,,,,,
359966,TaskType.SUPERVISED_CLASSIFICATION,40978,Internet-Advertisements,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,40978,class,2820.0,2.0,459.0,2.0,1559.0,3279.0,0.0,0.0,3.0,1556.0,,,,,,,,
359967,TaskType.SUPERVISED_CLASSIFICATION,4134,Bioresponse,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,4134,target,2034.0,2.0,1717.0,2.0,1777.0,3751.0,0.0,0.0,1776.0,1.0,,,,,,,,
359968,TaskType.SUPERVISED_CLASSIFICATION,40701,churn,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,40701,class,4293.0,10.0,707.0,2.0,21.0,5000.0,0.0,0.0,16.0,5.0,,,,,,,,
359969,TaskType.SUPERVISED_CLASSIFICATION,1475,first-order-theorem-proving,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,1475,Class,2554.0,6.0,486.0,6.0,52.0,6118.0,0.0,0.0,51.0,1.0,,,,,,,,
359970,TaskType.SUPERVISED_CLASSIFICATION,4538,GesturePhaseSegmentationProcessed,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,4538,Phase,2950.0,5.0,998.0,5.0,33.0,9873.0,0.0,0.0,32.0,1.0,,,,,,,,
359971,TaskType.SUPERVISED_CLASSIFICATION,4534,PhishingWebsites,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,4534,Result,6157.0,3.0,4898.0,2.0,31.0,11055.0,0.0,0.0,0.0,31.0,,,,,,,,
359972,TaskType.SUPERVISED_CLASSIFICATION,41146,sylvine,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,41146,class,2562.0,2.0,2562.0,2.0,21.0,5124.0,0.0,0.0,20.0,1.0,,,,,,,,
359973,TaskType.SUPERVISED_CLASSIFICATION,41142,christine,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,41142,class,2709.0,2.0,2709.0,2.0,1637.0,5418.0,0.0,0.0,1599.0,38.0,,,,,,,,
359974,TaskType.SUPERVISED_CLASSIFICATION,40498,wine-quality-white,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,40498,Class,2198.0,7.0,5.0,7.0,12.0,4898.0,0.0,0.0,11.0,1.0,,,,,,,,
359975,TaskType.SUPERVISED_CLASSIFICATION,40900,Satellite,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,40900,Target,5025.0,2.0,75.0,2.0,37.0,5100.0,0.0,0.0,36.0,1.0,,,,,,,,
359976,TaskType.SUPERVISED_CLASSIFICATION,40996,Fashion-MNIST,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,40996,class,7000.0,10.0,7000.0,10.0,785.0,70000.0,0.0,0.0,784.0,1.0,,,,,,,,
359977,TaskType.SUPERVISED_CLASSIFICATION,40668,connect-4,Supervised Classification,active,10-fold Crossvalidation,predictive_accuracy,40668,class,44473.0,,6449.0,3.0,43.0,67557.0,0.0,0.0,0.0,43.0,,,,,,,,
